Year (CE),Vance22,Porter21,Linsley08,Godkin21,Buckley19
474,0.815989699,,,,
475,1.016257159,,,,
476,1.295545841,,,,
477,1.111068032,,,,
478,0.791035054,,,,
479,0.398412864,,,,
480,-0.050186605,,,,
481,-0.504725324,,,,
482,-0.28438533,,,,
483,-0.459239084,,,,
484,-0.600693172,,,,
485,-0.701685818,,,,
486,-0.763061696,,,,
487,-0.822724334,,,,
488,-0.85097587,,,,
489,-0.896475195,,,,
490,-0.921939409,,,,
491,-0.910139499,,,,
492,-0.897626433,,,,
493,-0.862672106,,,,
494,-0.787859461,,,,
495,-1.135886597,,,,
496,-0.971953021,,,,
497,-0.767553243,,,,
498,-0.48199914,,,,
499,-0.245001798,,,,
500,0.179959349,,,,
501,0.672224723,,,,
502,1.182003539,,,,
503,1.668307223,,,,
504,1.695761335,,,,
505,1.194912152,,,,
506,0.809622332,,,,
507,0.772583114,,,,
508,0.757030762,,,,
509,0.733049983,,,,
510,0.68159042,,,,
511,0.64325547,,,,
512,0.569517761,,,,
513,0.734974866,,,,
514,0.875994901,,,,
515,1.013146952,,,,
516,1.132564566,,,,
517,1.195808322,,,,
518,1.006362983,,,,
519,1.335150723,,,,
520,1.26847962,,,,
521,1.188094986,,,,
522,1.139106041,,,,
523,1.062400752,,,,
524,0.993137973,,,,
525,0.913567629,,,,
526,0.80862899,,,,
527,0.683730647,,,,
528,0.572743232,,,,
529,0.020227498,,,,
530,-0.071247189,,,,
531,-0.141925943,,,,
532,-0.279176803,,,,
533,-0.344764381,,,,
534,-0.398998769,,,,
535,-0.496667115,,,,
536,-0.555794593,,,,
537,-0.635343516,,,,
538,-0.667059707,,,,
539,-0.68125932,,,,
540,-0.650370426,,,,
541,-0.55890076,,,,
542,-0.391873465,,,,
543,-0.276027665,,,,
544,-0.148610397,,,,
545,-0.03184177,,,,
546,0.016997996,,,,
547,0.531111402,,,,
548,0.529605954,,,,
549,0.536597484,,,,
550,0.491212237,,,,
551,0.434685097,,,,
552,0.401675132,,,,
553,0.367780554,,,,
554,0.411688587,,,,
555,0.485602314,,,,
556,0.585759996,,,,
557,0.726060092,,,,
558,0.907068465,,,,
559,1.083380081,,,,
560,1.216768191,,,,
561,0.996068112,,,,
562,0.802325926,,,,
563,0.633789158,,,,
564,0.555547727,,,,
565,0.510650833,,,,
566,0.588563601,,,,
567,0.716848711,,,,
568,0.893621968,,,,
569,1.19568424,,,,
570,1.307522641,,,,
571,1.256364507,,,,
572,0.792531021,,,,
573,0.96672406,,,,
574,1.115987651,,,,
575,1.2015166,,,,
576,1.239139433,,,,
577,1.266376899,,,,
578,1.216178098,,,,
579,1.052770698,,,,
580,1.04997718,,,,
581,0.597666471,,,,
582,0.201998239,,,,
583,0.166622689,,,,
584,0.183711941,,,,
585,0.23265358,,,,
586,0.311309702,,,,
587,0.396401116,,,,
588,0.081347596,,,,
589,0.23689986,,,,
590,0.278136151,,,,
591,0.27366794,,,,
592,0.230583043,,,,
593,0.132755266,,,,
594,0.062841664,,,,
595,0.009497376,,,,
596,0.283897866,,,,
597,0.844393834,,,,
598,1.086101451,,,,
599,0.704106632,,,,
600,0.277413774,,,,
601,-0.13193812,,,,
602,-0.444993489,,,,
603,-0.617692276,,,,
604,-0.767902537,,,,
605,-0.893282241,,,,
606,-0.991751324,,,,
607,-1.012635386,,,,
608,-1.012213273,,,,
609,-0.456322315,,,,
610,-0.266343846,,,,
611,0.193158459,,,,
612,0.785103885,,,,
613,1.430443168,,,,
614,0.635172233,,,,
615,0.306724589,,,,
616,0.271955009,,,,
617,0.263811098,,,,
618,0.226300326,,,,
619,0.197746748,,,,
620,0.182159534,,,,
621,0.198272021,,,,
622,0.185228791,,,,
623,0.235124584,,,,
624,0.257828207,,,,
625,0.322734035,,,,
626,0.39834845,,,,
627,-0.010869519,,,,
628,0.120787797,,,,
629,0.270461414,,,,
630,0.730763062,,,,
631,1.048192435,,,,
632,1.301418633,,,,
633,1.426748228,,,,
634,1.439874271,,,,
635,1.361784634,,,,
636,1.22599992,,,,
637,1.038112617,,,,
638,0.787616589,,,,
639,0.510958609,,,,
640,0.449069147,,,,
641,0.414042531,,,,
642,0.368412883,,,,
643,0.328091223,,,,
644,0.320588559,,,,
645,0.295794359,,,,
646,0.267271583,,,,
647,0.224529503,,,,
648,0.173554012,,,,
649,0.113053301,,,,
650,0.000758693,,,,
651,0.866494454,,,,
652,1.266790434,,,,
653,1.410040921,,,,
654,1.172700112,,,,
655,1.070730782,,,,
656,1.042238005,,,,
657,1.12066494,,,,
658,1.334543827,,,,
659,1.344528602,,,,
660,0.881689857,,,,
661,0.398722955,,,,
662,0.358693675,,,,
663,0.30816597,,,,
664,0.267033184,,,,
665,0.205835658,,,,
666,0.140835959,,,,
667,0.048573458,,,,
668,0.002518101,,,,
669,-0.067319726,,,,
670,-0.119301827,,,,
671,-0.108619606,,,,
672,-0.110815178,,,,
673,-0.08084486,,,,
674,-0.061614729,,,,
675,0.002437523,,,,
676,0.049988355,,,,
677,0.563934792,,,,
678,1.284269717,,,,
679,0.795754691,,,,
680,0.377921331,,,,
681,-0.006215558,,,,
682,-0.298659133,,,,
683,-0.499028625,,,,
684,-0.552506319,,,,
685,-0.592330738,,,,
686,-0.590624888,,,,
687,-0.577700535,,,,
688,-0.45929334,,,,
689,-0.177184758,,,,
690,0.119009256,,,,
691,0.461241893,,,,
692,0.761659549,,,,
693,1.078591074,,,,
694,1.289076789,,,,
695,1.063766454,,,,
696,0.972778468,,,,
697,0.924802465,,,,
698,0.97968322,,,,
699,1.130004572,,,,
700,1.362493295,,,,
701,1.293210833,,,,
702,1.082961602,,,,
703,0.819646361,,,,
704,0.517253762,,,,
705,-0.195512933,,,,
706,-0.37573377,,,,
707,-0.398855412,,,,
708,-0.399522606,,,,
709,-0.36974811,,,,
710,-0.334173764,,,,
711,-0.344270054,,,,
712,-0.312141367,,,,
713,-0.285385226,,,,
714,-0.230048445,,,,
715,-0.104169984,,,,
716,0.234461187,,,,
717,0.612204703,,,,
718,1.050625556,,,,
719,0.967598138,,,,
720,0.372751995,,,,
721,0.31606369,,,,
722,0.311229456,,,,
723,0.293813346,,,,
724,0.2964296,,,,
725,0.315559021,,,,
726,0.369002616,,,,
727,0.38631004,,,,
728,-0.0051912,,,,
729,0.109622717,,,,
730,0.217911572,,,,
731,0.31715094,,,,
732,0.397824471,,,,
733,0.484107164,,,,
734,0.5457357,,,,
735,0.589840497,,,,
736,0.620088908,,,,
737,0.628263901,,,,
738,0.596926861,,,,
739,0.608339746,,,,
740,0.598696855,,,,
741,0.634186988,,,,
742,0.724089491,,,,
743,0.827874422,,,,
744,1.115795652,,,,
745,1.627858908,,,,
746,2.189009866,,,,
747,2.409159489,,,,
748,2.262468691,,,,
749,2.084704318,,,,
